Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,Ca Wt%,Cu Wt%,K Wt%,Al Wt%,Cr Wt%,Fe Wt%,Ti Wt%,Zn Wt%
309,Sea aerosol (Cl),0.311921647,53151.0,70.44811249,17.8664729,0.0,0.0,0.0,0.0,11.68541834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Sea aerosol (Cl),0.510035695,56710.0,63.36010098,22.62525409,0.0,0.0,0.0,0.0,14.01465535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,Sea aerosol (Cl),0.46043559,53706.0,65.83982706,21.21981382,0.0,0.0,0.0,0.0,12.94035614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,Sea aerosol (Cl),0.259989423,54921.0,69.80444193,19.54741776,0.0,0.0,0.0,0.0,10.64813659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,Sea aerosol (Cl),0.315187931,53904.0,65.5241549,20.76733261,0.0,0.0,0.0,0.0,13.70851249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,Sulfate aerosol,0.228543461,59386.0,91.44260287,0.0,0.0,0.0,0.0,8.557396382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,Sea aerosol (Cl),0.397140404,55233.0,61.96396947,22.98876792,1.990586892,0.0,0.0,0.0,13.0566746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,Sea aerosol (Cl),0.300209927,54081.0,75.43969154,15.73637873,0.0,0.0,0.0,0.0,8.823925257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,Sea aerosol (Cl),0.464862957,54813.0,66.29915833,21.32850289,0.0,0.0,0.0,0.0,12.37233877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,Sulfate aerosol,0.269657738,62418.0,93.7029779,0.0,0.0,0.0,0.0,6.297019124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,Oxygen only,0.320024857,56740.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Oxygen only,0.217051419,55608.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,Oxygen only,0.254011856,59316.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,Sea aerosol (Cl),0.419708666,55781.0,64.93917108,21.32095248,0.0,0.0,0.0,0.0,13.73987645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Sea aerosol (Cl),0.485341727,56813.0,64.50222731,22.44570851,0.0,0.0,0.0,0.0,13.05206269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Aged Sea Aerosol,0.446890393,61728.0,73.03227782,16.46070182,0.0,0.0,0.0,1.938059554,8.568961173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Sea aerosol (Cl),0.278991203,61152.0,70.33795714,18.60214919,0.0,0.0,0.0,0.0,11.05989069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,Oxygen only,0.232981613,55299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Sea aerosol (Cl),0.247890189,51931.0,69.48910952,19.13573444,0.0,0.0,0.0,0.0,11.37515232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,Sulfate aerosol,0.316808446,57946.0,95.71906328,0.0,0.0,0.0,0.0,4.280943796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,Sulfate aerosol,0.241613469,54693.0,88.36507201,0.0,0.0,0.0,0.0,4.791316763,0.0,0.0,6.843610853,0.0,0.0,0.0,0.0,0.0,0.0
489,Sulfate aerosol,0.228543461,58409.0,93.85404587,0.0,0.0,0.0,0.0,6.14595972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,Sillica mixtures ,0.245815757,59541.0,90.72878361,0.0,4.613768682,4.657442868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,Sea aerosol (Cl),0.513038875,53312.0,66.07379913,22.10481018,0.0,0.0,0.0,0.0,11.82139963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,Oxygen only,0.207399812,53996.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,Oxygen only,0.251987825,54009.0,99.99999404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,Sulfate aerosol,0.400989997,59820.0,92.77938008,0.0,0.0,0.0,0.0,7.220617682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,Sea aerosol (Cl),0.588358542,54291.0,63.22508454,23.28189015,0.0,0.0,0.0,0.0,13.49302232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,Oxigen+Cu(trace),0.245815757,57929.0,93.68633628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.313662231,0.0,0.0,0.0,0.0,0.0,0.0
531,Oxygen only,0.232981613,54947.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,Sea aerosol (Cl),0.249947404,54074.0,67.48034954,20.49458325,0.0,0.0,0.0,0.0,12.02506348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,Cl,0.209854333,62335.0,95.65730691,0.0,0.0,0.0,0.0,0.0,4.342695326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,No Classification,0.217051419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,No Classification,0.219397989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,Sulfate aerosol,0.273429358,61489.0,92.8437829,0.0,0.0,0.0,0.0,4.973537475,2.182679437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,No Classification,0.463760078,52844.0,83.7792635,4.801372439,0.0,0.0,0.0,5.322262645,2.59061195,3.506488726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,Cl,0.202401491,55830.0,95.16441822,0.0,0.0,0.0,0.0,0.0,4.83558327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,Sulfate aerosol,0.221719725,58392.0,95.57440281,0.0,0.0,0.0,0.0,4.425602779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,Mainly O,0.207399812,59763.0,96.52295113,0.0,0.0,0.0,0.0,3.477047384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
