Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Fe Wt%,Cu Wt%,P Wt%,Mn Wt%,Zn Wt%,S Wt%,Cr Wt%
108,Sillica mixtures ,0.80857219,53263.0,80.76744676,0.0,4.123929143,0.0,8.11663121,0.0,0.0,3.065021336,0.0,3.926984966,0.0,0.0,0.0,0.0,0.0,0.0
109,Aluminosillicates,1.190345526,57727.0,80.28995991,2.779645845,0.0,3.606305644,9.611851722,0.0,0.0,2.647188306,0.0,1.065043919,0.0,0.0,0.0,0.0,0.0,0.0
110,Metallic Fe,2.219760461,60051.0,60.09551883,0.0,0.0,0.498660561,0.927328039,0.0,0.0,0.0,7.008095831,29.85647023,1.053381525,0.0,0.56053903,0.0,0.0,0.0
111,Sillica mixtures ,1.134493666,58084.0,78.69573832,0.0,3.062589094,2.612328529,9.223896265,0.0,0.0,2.719385363,0.0,3.686073422,0.0,0.0,0.0,0.0,0.0,0.0
112,Sillica mixtures ,2.888264894,55672.0,73.07614088,0.0,3.956985846,1.286409143,10.49045399,0.0,0.0,3.993037716,0.759320706,6.437651813,0.0,0.0,0.0,0.0,0.0,0.0
113,Sillica mixtures ,1.776244468,53766.0,81.4545095,0.0,2.068081498,0.848138425,7.952392846,0.0,0.0,3.147837892,0.86885374,3.660181165,0.0,0.0,0.0,0.0,0.0,0.0
114,Aluminosillicates,2.958012502,54447.0,72.3557353,4.471121728,0.0,7.250996679,12.89411783,0.0,0.0,3.02803237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Aluminosillicates,2.665969328,61935.0,72.65615463,2.214766107,0.0,8.109151572,12.0358862,0.0,0.0,3.459313139,0.0,1.524727046,0.0,0.0,0.0,0.0,0.0,0.0
116,Aluminosillicates,4.251589415,54475.0,67.857939,1.744988561,1.865533739,3.714350611,12.94921786,0.0,0.569873629,3.306313604,1.790920272,6.200858206,0.0,0.0,0.0,0.0,0.0,0.0
117,Aluminosillicates,0.849781912,57704.0,84.75006819,0.0,0.0,4.800174013,8.671277761,0.0,0.0,1.778481342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
