Id,Class,Subclass,Area (æmý),Aspect Ratio,Breadth (æm),ECD (æm),Shape,Stage X,Stage Y,Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Al Wt%,Al Wt% ?,Si Wt%,Si Wt% ?,Cl Wt%,Cl Wt% ?,K Wt%,K Wt% ?,Ca Wt%,Ca Wt% ?,Ti Wt%,Ti Wt% ?,Fe Wt%,Fe Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
71,Sillica mixtures ,,0.211119132,1.45872651,0.468421573,0.518464297,1.188716457,6.803196304,-11.40821028,53473,89.01316524,0.884892233,,,,,0,2.865503915,8.987307549,0.655174814,,,,,,,,,1.999531128,0.636472506,,,,,,,,,,,,
72,Sillica mixtures ,,0.157444776,1.414210468,0.388822284,0.447733085,1.021772629,6.784112506,-11.40594428,53965,84.89567041,1.955273002,,,2.128235251,0.54517216,0.388390874,1.989728585,6.425529718,0.489183702,,,,,1.495524403,0.295404834,1.089302637,0.322175352,3.577357158,0.510317739,,,,,,,,,,,,
73,Aluminosillicates,Si rich,19.46947793,1.365471511,5.209475405,4.978886343,4.552572286,6.774265357,-11.40859796,55722,71.35545015,1.113206334,1.670074649,0.367479911,2.642787062,0.266539096,3.832833841,1.038219407,11.93892583,0.413533114,,,,,3.641022369,0.200443715,0.566339586,0.1362868,4.352562129,0.288826902,,,,,,,,,,,,
74,Sillica mixtures ,,0.084089824,1.406979008,0.296088018,0.32721016,0.99394201,6.827190252,-11.43976988,55519,88.06464076,2.523014881,,,,,2.901194803,2.676630393,9.034164995,0.706420327,,,,,,,,,,,,,,,,,,,,,,
75,Sillica mixtures ,,0.352461602,1.277950438,0.621863853,0.669901522,1.024216538,6.812499696,-11.43567114,53636,74.29005504,0.879070535,,,13.28307688,0.631598709,,,7.228595018,0.425292226,,,,,,,,,5.19827269,0.44534849,,,,,,,,,,,,
76,Sillica mixtures ,,0.975084127,1.582577821,0.972860629,1.114233221,1.308215583,6.823947075,-11.43077057,57316,82.00990558,2.091068216,,,,,1.698171534,2.261020802,8.44964534,0.578591926,,,,,1.311020274,0.326404674,,,6.531246752,0.6363241,,,,,,,,,,,,
77,Aluminosillicates,Si rich,1.118215742,1.576163038,1.027130284,1.193212681,1.231614275,6.812836857,-11.42192306,53032,80.46740294,1.645764336,2.792290971,0.635067886,,,5.035062134,1.686310582,9.740682691,0.493752817,,,,,1.964550279,0.261017447,,,,,,,,,,,,,,,,
78,Aluminosillicates,Si rich,9.317868135,1.285076533,3.22841102,3.444398087,1.306159704,6.821916079,-11.41719918,60370,72.7555871,0.928313751,1.813273318,0.306857773,1.897406019,0.202017743,4.808495194,0.86746309,10.32651365,0.320567936,,,,,2.852600068,0.150643836,1.114256028,0.125512679,4.431865737,0.244206749,,,,,,,,,,,,
79,Sillica mixtures ,,0.347094166,1.456861921,0.592176035,0.664781181,1.096178686,6.808993606,-11.41043003,58010,88.49366307,2.534102835,,,,,0.734209036,2.681365795,8.236018568,0.658475654,,,,,,,,,2.536099963,0.599082652,,,,,,,,,,,,
80,Sillica mixtures ,,0.456232023,1.28200036,0.724334324,0.762163141,1.167892477,6.831744614,-11.40866607,58348,81.73211813,0.95783323,,,,,0,2.227335423,8.565810323,0.558392704,,,,,,,1.536027528,0.364353973,8.16604495,0.649242429,,,,,,,,,,,,
81,Metallic Fe,,3.410110727,1.39601114,1.885864098,2.08371971,1.155017831,6.881351201,-11.43989127,60868,63.37078214,0.856917631,,,,,,,0.546046812,0.133920275,,,,,,,9.452487528,0.314745633,26.63067579,0.680169696,,,,,,,,,,,,
82,Aluminosillicates,Si rich,3.560398923,1.414149559,1.824473793,2.129140837,1.172985937,6.847975474,-11.43919326,55768,74.23570156,0.965073612,1.548162755,0.331710535,2.899079584,0.241462211,3.574929386,0.900934357,10.23397073,0.335820927,,,,,2.910923399,0.162914617,0.634649768,0.120827032,3.962583467,0.249170139,,,,,,,,,,,,
83,Aluminosillicates,Si rich,0.19322768,1.455971595,0.422982882,0.496009197,1.049014815,6.878984767,-11.42725151,53565,83.22482109,2.169268206,,,,,5.267089605,2.264320292,8.531340957,0.616295449,,,,,1.152461953,0.35321163,,,1.82428658,0.511486223,,,,,,,,,,,,
