Id,Class,Area (µm²),Aspect Ratio,Breadth (µm),Direction (°),ECD (µm),Length (µm),Perimeter (µm),Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Si Wt%,Si Wt% ?,P Wt%,P Wt% ?,S Wt%,S Wt% ?,Cl Wt%,Cl Wt% ?,Ca Wt%,Ca Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
211,Sillica mixtures ,0.147303833,1.658012777,0.360616844,70.3125,0.433073972,0.597907334,1.490047494,59038,89.86724615,1.839911006,,,3.753036261,1.079262141,3.838085756,0.737585267,,,2.541624196,1.450208016,,,,,,,,,,,,,,,,
212,Sea aerosol (Cl),0.154469965,1.5991923,0.363759956,104.0625,0.443483109,0.581722121,1.57220479,55112,65.51965475,1.481456775,21.68629467,1.233235095,,,,,,,,,12.79405057,0.704944832,,,,,,,,,,,,,,
217,Sea aerosol (Cl),0.051755401,2.232181084,0.19786693,63.28125,0.256704154,0.441674818,1.017690813,56529,67.28804111,1.363777649,18.46776456,1.082685497,3.01436726,0.641422626,,,,,,,11.22982651,0.59868712,,,,,,,,,,,,,,
218,Sea aerosol (Cl),0.054144112,1.302032208,0.247097351,74.53125,0.262561276,0.321728709,0.850687507,55287,70.03750801,1.445684396,18.72950792,1.259939838,,,,,,,,,11.23298481,0.676790299,,,,,,,,,,,,,,
222,Sea aerosol (Cl),0.084401115,1.2758112,0.308060066,68.90625,0.327815249,0.393026483,1.049032765,54026,69.42227483,1.386889908,19.32789683,1.206228975,,,,,,,,,11.24982387,0.646331953,,,,,,,,,,,,,,
224,Mainly O,0.043793031,2.08410994,0.167473542,75.9375,0.236133478,0.349033273,0.853376221,60885,97.17283249,0.719868345,,,,,,,,,,,2.827167697,0.719868438,,,,,,,,,,,,,,
225,Sea aerosol (Cl),0.109880697,1.76359272,0.303579576,108.28125,0.374038031,0.53539073,1.285211106,57213,63.73906732,1.220715791,23.03887457,1.012407243,,,,,,,,,13.22205663,0.581296161,,,,,,,,,,,,,,
232,Sea aerosol (Cl),0.1401377,1.698193235,0.346956681,106.875,0.422408406,0.589199488,1.474376518,54334,67.51204133,1.409793273,19.73023564,1.18925143,,,,,,,,,12.75772154,0.689432491,,,,,,,,,,,,,,
234,Sea aerosol (Cl),0.130582857,1.485337194,0.366900998,68.90625,0.407753918,0.5449717,1.452214412,56208,69.79144812,1.176291704,19.75240111,1.025476959,,,,,,,,,10.45614779,0.535685476,,,,,,,,,,,,,,
235,Ca rich,7.178075961,1.528269739,2.749733744,22.5,3.023145741,4.202334871,10.98327142,52548,84.10055637,0.540646911,,,,,,,,,,,1.383204944,0.17107398,14.5162344,0.493941316,,,,,,,,,,,,
247,Sea aerosol (Cl),0.176764599,1.229230585,0.464246759,8.4375,0.474408767,0.570666315,1.730028251,55563,63.83863091,1.323609333,21.84252739,1.042394433,1.793768443,0.577044114,,,,,,,12.52508014,0.59345034,,,,,,,,,,,,,,
Min,,0.031849477,1.159059306,0.15962325,8.4375,0.201375306,0.25238561,0.645851118,,58.79309177,,5.311202258,,1.793768443,,3.838085756,,2.976786532,,0.619363226,,0.953188539,,0.924432743,,1.895487867,,,,,,,,,,,
Max,,7.544344951,3.020571995,2.799420914,146.25,3.099315784,4.260799904,11.25728285,,100,,23.23711514,,4.854044318,,3.838085756,,2.976786532,,5.222769082,,18.13854128,,14.5162344,,9.807438403,,,,,,,,,,,
Mean,,0.277343375,1.77161645,0.354169889,92.10110294,0.412601336,0.595351892,1.516412924,,80.57472012,,19.12383842,,2.556753767,,3.838085756,,2.976786532,,3.607346102,,4.26120138,,13.87292266,,4.548991961,,,,,,,,,,,
Std Dev,,1.10907473,0.410607839,0.396170224,27.42369802,0.430188202,0.597065573,1.58653519,,9.320658423,,4.205705304,,0.626046614,,0,,0,,2.283530304,,4.951977879,,2.424087831,,3.791714665,,,,,,,,,,,
Id,Class,Area (µm²),Aspect Ratio,Breadth (µm),Direction (°),ECD (µm),Length (µm),Perimeter (µm),Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Si Wt%,Si Wt% ?,S Wt%,S Wt% ?,Cl Wt%,Cl Wt% ?,Ca Wt%,Ca Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,,,
